County,white-male,white-female,black-male,black-female,asian-male,asian-female,aian-male,aian-female,other-male,other-female
Alamance,634,701,170,160,9,8,1,1,6,6
Alexander,189,172,16,15,1,2,0,0,0,0
Alleghany,74,65,1,2,0,0,0,0,3,2
Anson,92,78,90,55,1,1,0,0,0,2
Ashe,183,149,4,3,0,0,0,0,0,1
Avery,107,103,0,0,0,0,0,1,1,0
Beaufort,258,213,62,86,2,3,0,1,0,0
Bertie,70,48,68,66,0,0,1,0,0,0
Bladen,149,119,72,80,0,2,1,6,0,0
Brunswick,753,588,87,65,2,3,1,3,2,2
Buncombe,1283,1266,96,66,6,7,1,4,4,6
Burke,512,446,35,22,6,1,0,0,13,5
Cabarrus,654,641,112,119,8,8,1,0,11,11
Caldwell,460,441,25,16,6,7,0,1,3,3
Camden,38,39,7,3,0,0,0,0,0,0
Carteret,475,424,22,22,1,3,0,1,1,2
Caswell,105,83,48,42,0,0,2,0,0,0
Catawba,788,748,79,67,7,5,0,0,14,11
Chatham,294,308,63,57,5,3,0,0,5,3
Cherokee,198,193,2,3,2,1,2,3,0,0
Chowan,60,74,22,23,0,0,0,0,0,0
Clay,68,92,1,1,0,0,0,0,0,0
Cleveland,502,517,121,105,1,1,0,0,1,1
Columbus,229,207,110,95,1,3,6,10,0,0
Craven,466,403,130,125,6,4,1,1,7,5
Cumberland,816,678,507,497,28,30,36,23,14,19
Currituck,113,113,16,8,0,1,1,0,0,2
Dare,220,167,1,7,2,0,0,0,0,0
Davidson,862,797,83,85,7,5,1,1,7,7
Davie,233,189,14,13,0,1,0,1,0,1
Duplin,167,179,79,90,1,1,1,0,2,2
Durham,565,606,421,402,12,12,3,2,24,22
Edgecombe,186,180,229,159,3,2,2,2,0,0
Forsyth,1259,1306,432,402,18,18,1,1,20,20
Franklin,227,231,103,102,5,0,1,1,3,0
Gaston,1057,1028,171,137,14,3,2,0,11,3
Gates,46,41,28,24,0,0,0,0,0,0
Graham,64,41,0,0,0,0,3,2,1,0
Granville,187,175,100,98,3,2,0,0,2,1
Greene,59,57,42,40,0,0,1,0,2,3
Guilford,1509,1647,678,643,21,15,12,5,44,30
Halifax,177,149,169,181,0,0,12,12,1,1
Harnett,390,387,139,109,7,9,6,5,2,4
Haywood,418,409,4,4,3,1,2,0,0,2
Henderson,677,714,18,23,3,2,2,0,4,3
Hertford,56,70,72,72,0,0,2,1,3,0
Hoke,77,86,87,63,3,5,21,21,2,2
Hyde,25,17,6,8,0,0,1,0,0,0
Iredell,670,660,96,94,5,6,4,0,6,8
Jackson,190,151,2,2,1,0,32,22,1,0
Johnston,630,598,130,126,19,11,1,7,9,6
Jones,38,47,19,12,0,0,0,0,0,1
Lee,236,215,81,58,8,5,0,0,4,3
Lenoir,213,246,153,117,0,2,0,0,1,2
Lincoln,408,365,22,22,3,1,0,0,2,2
Macon,260,212,2,0,3,4,1,0,0,0
Madison,137,136,1,1,0,0,0,0,0,0
Martin,101,84,67,70,0,0,0,0,0,1
Mcdowell,282,264,7,6,0,0,0,0,2,1
Mecklenburg,1966,2050,1123,1028,53,38,5,4,111,79
Mitchell,127,112,1,0,0,0,0,0,1,1
Montgomery,129,114,34,34,0,0,0,0,1,1
Moore,473,494,64,65,5,2,3,2,5,3
Nash,374,346,172,171,4,6,1,0,3,4
New hanover,822,848,129,156,0,0,0,2,14,8
Northampton,57,53,76,75,0,0,0,0,0,0
Onslow,558,466,106,95,12,14,3,4,6,9
Orange,314,325,81,74,3,2,0,2,9,10
Pamlico,86,47,20,17,0,0,0,0,0,0
Pasquotank,160,135,77,71,0,2,0,0,0,2
Pender,274,224,59,57,0,0,1,2,0,1
Perquimans,65,61,27,20,0,0,0,0,0,0
Person,195,190,62,59,0,2,0,0,0,0
Pitt,398,402,241,226,5,7,0,1,5,7
Polk,164,138,9,4,0,1,1,0,2,0
Randolph,723,724,51,50,4,6,9,1,4,5
Richmond,183,195,77,63,4,0,4,4,3,1
Robeson,281,243,205,172,11,6,294,238,5,3
Rockingham,485,457,120,109,3,1,1,1,1,1
Rowan,701,697,124,123,6,4,0,1,4,3
Rutherford,378,403,40,33,3,0,1,1,0,1
Sampson,261,227,102,86,3,0,8,12,2,1
Scotland,106,113,64,70,1,1,27,20,0,0
Stanly,314,299,35,37,0,1,1,1,2,4
Stokes,308,262,15,12,0,0,0,0,0,0
Surry,459,485,17,20,2,0,1,0,0,0
Swain,75,75,0,0,1,2,29,32,0,0
Transylvania,212,190,5,3,1,0,0,0,0,0
Tyrrell,14,23,9,7,0,0,0,0,0,0
Union,653,583,107,91,14,8,0,2,19,13
Vance,137,128,146,112,2,2,0,0,0,0
Wake,2168,2177,652,626,37,26,6,8,90,66
Warren,75,48,80,47,1,1,6,4,0,0
Washington,52,37,31,37,0,0,0,0,0,0
Watauga,177,163,1,1,1,0,0,0,1,1
Wayne,438,431,202,217,10,9,2,1,6,8
Wilkes,417,366,30,19,5,0,0,0,0,1
Wilson,290,289,194,182,6,5,2,1,6,4
Yadkin,225,199,8,12,2,4,0,0,0,0
Yancey,137,110,1,0,0,0,0,0,0,0
